User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Pool,Gym,Tennis court,Spa,Casino,Free internet,Member years,Hotel name,Nr. rooms,User continent,Hotel stars
USA,11,4,13,5,0,1,0,0,1,1,9,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
USA,36,9,25,5,0,1,0,0,1,1,2,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
Canada,30,12,17,5,1,1,0,1,1,1,8,Excalibur Hotel & Casino,3981,North America,3
USA,26,10,28,5,1,1,0,1,1,1,1,Excalibur Hotel & Casino,3981,North America,3
Ireland,8,7,9,5,1,1,0,1,1,1,8,Excalibur Hotel & Casino,3981,Europe,3
Canada,11,8,13,5,1,1,0,1,1,1,7,Excalibur Hotel & Casino,3981,North America,3
Scotland,24,10,13,5,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,Europe,4
Mexico,56,14,36,5,1,1,0,1,1,0,3,Monte Carlo Resort&Casino,3003,North America,4
USA,17,9,16,5,1,1,1,1,1,1,-1806,Treasure Island- TI Hotel & Casino,2884,North America,4
Australia,21,20,14,5,1,1,1,1,1,1,3,Treasure Island- TI Hotel & Casino,2884,Oceania,4
Australia,12,7,4,5,1,1,1,1,1,1,5,Treasure Island- TI Hotel & Casino,2884,Oceania,4
Thailand,4,3,1,5,1,1,1,1,1,1,7,Treasure Island- TI Hotel & Casino,2884,Asia,4
Canada,21,16,48,5,1,1,1,1,1,1,12,Treasure Island- TI Hotel & Casino,2884,North America,4
USA,12,6,1,5,1,1,1,1,1,1,2,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,North America,4
Ireland,19,9,28,5,1,1,1,1,1,1,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
New Zeland,8,7,3,5,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Oceania,4
